"cell_names","tSNE1","tSNE2","Cluster","Patient","SampleType","stype","invariantTCR","Units"
"NTC10-20170215",-16.5594206522581,-26.8342402079793,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC11-20170215",-16.4541028954182,-23.2798892008933,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC1-20170215",-16.4677810923029,-15.6413776641948,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC13-20170215",-18.4004889116044,-26.0819469084088,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC14-20170215",-13.9353582881569,-27.5532799288352,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC15-20170215",-19.4708199421313,-25.9759733045006,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC16-20170215",-29.7845811406195,-25.0425570654627,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC17-20170215",-30.6438777831685,-29.4210237996133,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC18-20170215",-15.6525139841889,-24.4145337009166,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC19-20170215",-12.37498716241,-23.8452634958909,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC20-20170215",-17.9770136440841,-25.0272696191886,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC21-20170215",-19.4899868885643,-14.7002677908119,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC2-20170215",-18.7510627518046,-25.8947481958084,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC22-20170215",-32.4454977591584,-26.4425112775647,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
