,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
umls:C0021400,umls:C0021400,Influenza,28/250,494/17381,6.47E-10,1.40E-06,1.07E-06,CTLA4/TNFRSF9/CCL3/CD27/SARDH/IFNG/CREM/GAPDH/ITGAE/OASL/TNFSF4/RNF19A/HMOX1/IFI6/UBE2L6/PTPN11/LY6E/PLSCR1/IFI35/CASP3/SCO2/OAS3/MX1/IRF9/GBP1/GATA3/DDX60/CAT,28
umls:C0024138,umls:C0024138,"Lupus Erythematosus, Discoid",21/250,316/17381,6.39E-09,5.62E-06,4.31E-06,PDCD1/CTLA4/CD27/CSF1/IFNG/KIR2DL4/CXCL13/CREM/ICOS/PRDM1/WARS/TNFRSF1B/PTPN22/FASLG/IFI16/CD70/UBASH3B/BTG3/STAT3/IL21R/GATA3,21
umls:C0026896,umls:C0026896,Myasthenia Gravis,16/250,181/17381,8.06E-09,5.62E-06,4.31E-06,PDCD1/CTLA4/HLA-DRA/CSF1/IFNG/CXCL13/ICOS/MIR155/IL2RB/PTPN22/TNFAIP3/PAM/RNF19A/PDLIM7/SEM1/CASP3,16
umls:C0409974,umls:C0409974,Lupus Erythematosus,22/250,356/17381,1.04E-08,5.62E-06,4.31E-06,PDCD1/CTLA4/CD27/CSF1/IFNG/KIR2DL4/CXCL13/CREM/CD38/ICOS/HLA-DMA/PRDM1/TNFRSF1B/PTPN22/FASLG/IFI16/CD70/UBASH3B/BTG3/STAT3/IL21R/GATA3,22
umls:C0024131,umls:C0024131,Lupus Vulgaris,20/250,307/17381,2.08E-08,8.99E-06,6.90E-06,PDCD1/CTLA4/CD27/CSF1/IFNG/KIR2DL4/CXCL13/CREM/ICOS/PRDM1/TNFRSF1B/PTPN22/FASLG/IFI16/CD70/UBASH3B/BTG3/STAT3/IL21R/GATA3,20
umls:C0018213,umls:C0018213,Graves Disease,21/250,355/17381,4.83E-08,1.74E-05,1.34E-05,PDCD1/CTLA4/CXCR6/IFNG/ITM2A/CXCL13/ICOS/WARS/ITGAE/TNFRSF1B/PTPN22/ARID5B/TNFAIP3/CBLB/FASLG/SEM1/STAT3/PRDX5/IL21R/RHOH/GATA3,21
umls:C0023493,umls:C0023493,Adult T-Cell Lymphoma/Leukemia,24/250,469/17381,8.09E-08,2.25E-05,1.73E-05,RGS1/PDCD1/CTLA4/CCL3/TOX/IFNG/CD38/ICOS/MIR155/VCAM1/IL2RB/TNFSF4/HMOX1/AHI1/CASP3/STAT3/OAS3/IL21R/IRF9/GATA3/MCL1/GSTO1/CAT/CSNK2B,24
umls:C1527336,umls:C1527336,Sjogren's Syndrome,13/250,136/17381,8.33E-08,2.25E-05,1.73E-05,PDCD1/CTLA4/IFNG/CXCL13/ID3/MIR155/PRDM1/PTPN22/TNFAIP3/FASLG/SPTAN1/STAT3/GTF2I,13
umls:C0037274,umls:C0037274,Dermatologic disorders,24/250,479/17381,1.20E-07,2.88E-05,2.21E-05,RGS1/CTLA4/CCL3/NR4A2/TOX/IFNG/MIR155/VCAM1/IL2RB/ID2/TNFRSF1B/PTPN22/FKBP1A/FASLG/RNF19A/HMOX1/IGFLR1/PELI1/PON2/MTHFD1/LIMK1/IRF2/GATA3/GSTO1,24
umls:C0042170,umls:C0042170,Uveomeningoencephalitic Syndrome,10/250,80/17381,2.16E-07,4.43E-05,3.40E-05,PDCD1/CTLA4/HLA-DRA/IFNG/KIR2DL4/PTPN22/TNFAIP3/TRAF5/STAT3/GATA3,10
