"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0021400","umls:C0021400","Influenza","28/250","494/17381",6.46952039783885e-10,1.40065116613211e-06,1.07462138818839e-06,"1493/3604/6348/939/1757/3458/1390/2597/3682/8638/7292/25897/3162/2537/9246/5781/4061/5359/3430/836/9997/4940/4599/10379/2633/2625/55601/847",28
"umls:C0024138","umls:C0024138","Lupus Erythematosus, Discoid","21/250","316/17381",6.39276234836924e-09,5.62229048249145e-06,4.31358909997399e-06,"5133/1493/939/1435/3458/3805/10563/1390/29851/639/7453/7133/26191/356/3428/970/84959/10950/6774/50615/2625",21
"umls:C0026896","umls:C0026896","Myasthenia Gravis","16/250","181/17381",8.06431781807527e-09,5.62229048249145e-06,4.31358909997399e-06,"5133/1493/3122/1435/3458/10563/29851/406947/3560/26191/7128/5066/25897/9260/7979/836",16
"umls:C0409974","umls:C0409974","Lupus Erythematosus","22/250","356/17381",1.03876036628017e-08,5.62229048249145e-06,4.31358909997399e-06,"5133/1493/939/1435/3458/3805/10563/1390/952/29851/3108/639/7133/26191/356/3428/970/84959/10950/6774/50615/2625",22
"umls:C0024131","umls:C0024131","Lupus Vulgaris","20/250","307/17381",2.07651207414986e-08,8.99129728106888e-06,6.89839169054415e-06,"5133/1493/939/1435/3458/3805/10563/1390/29851/639/7133/26191/356/3428/970/84959/10950/6774/50615/2625",20
"umls:C0018213","umls:C0018213","Graves Disease","21/250","355/17381",4.82982750336955e-08,1.74276275746585e-05,1.33709961409073e-05,"5133/1493/10663/3458/9452/10563/29851/7453/3682/7133/26191/84159/7128/868/356/7979/6774/25824/50615/399/2625",21
"umls:C0023493","umls:C0023493","Adult T-Cell Lymphoma/Leukemia","24/250","469/17381",8.08657846092085e-08,2.25376625314991e-05,1.72915675092771e-05,"5996/5133/1493/6348/9760/3458/952/29851/406947/7412/3560/7292/3162/54806/836/6774/4940/50615/10379/2625/4170/9446/847/1460",24
"umls:C1527336","umls:C1527336","Sjogren's Syndrome","13/250","136/17381",8.32800463057704e-08,2.25376625314991e-05,1.72915675092771e-05,"5133/1493/3458/10563/3399/406947/639/26191/7128/356/6709/6774/2969",13
"umls:C0037274","umls:C0037274","Dermatologic disorders","24/250","479/17381",1.19627611806686e-07,2.87770866179418e-05,2.20786399334446e-05,"5996/1493/6348/4929/9760/3458/406947/7412/3560/3398/7133/26191/2280/356/25897/3162/79713/57162/5445/4522/3984/3660/2625/9446",24
"umls:C0042170","umls:C0042170","Uveomeningoencephalitic Syndrome","10/250","80/17381",2.15614787069703e-07,4.43488720572633e-05,3.40257785858085e-05,"5133/1493/3122/3458/3805/26191/7128/7188/6774/2625",10
