"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","14/257","287/18698",4.61527819627997e-05,0.00969534073102751,0.00863998665623864,"PDCD1/CTLA4/TNFRSF9/CD27/ICOS/VCAM1/IL2RB/ITGAE/LAG3/FASLG/ABCG1/TFRC/ANXA5/LY6G5B",14
"GO:0045121","GO:0045121","membrane raft","14/257","302/18698",7.97757501802682e-05,0.00969534073102751,0.00863998665623864,"PTGIS/TNFRSF1B/LAT2/CTSD/CBLB/FASLG/HMOX1/BST2/PARK7/PLSCR1/CTNNA1/CASP3/PRKAR1A/CTNNB1",14
"GO:0098857","GO:0098857","membrane microdomain","14/257","303/18698",8.26307448667118e-05,0.00969534073102751,0.00863998665623864,"PTGIS/TNFRSF1B/LAT2/CTSD/CBLB/FASLG/HMOX1/BST2/PARK7/PLSCR1/CTNNA1/CASP3/PRKAR1A/CTNNB1",14
"GO:0098589","GO:0098589","membrane region","14/257","314/18698",0.000120411056113927,0.0105961729380256,0.00944276176893429,"PTGIS/TNFRSF1B/LAT2/CTSD/CBLB/FASLG/HMOX1/BST2/PARK7/PLSCR1/CTNNA1/CASP3/PRKAR1A/CTNNB1",14
"GO:0032585","GO:0032585","multivesicular body membrane","3/257","11/18698",0.000390281097555106,0.0261050877792443,0.0232635052578194,"NDFIP2/RAB27A/CD63",3
"GO:0098562","GO:0098562","cytoplasmic side of membrane","10/257","199/18698",0.00044497308714621,0.0261050877792443,0.0232635052578194,"RGS1/AKAP5/RGS2/PTPN22/SNX9/FKBP1A/TRAF5/SLA/PTPN7/RNF31",10
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","9/257","176/18698",0.000753621335012361,0.0307191796909829,0.027375345538017,"RGS1/AKAP5/RGS2/PTPN22/SNX9/TRAF5/SLA/PTPN7/RNF31",9
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","13/257","338/18698",0.000849423676686596,0.0307191796909829,0.027375345538017,"SRGN/COTL1/CTSD/ACTN4/FASLG/RAB27A/ARHGAP9/FAM3C/SPTAN1/PKM/PSMA5/CAT/CSNK2B",13
"GO:0030136","GO:0030136","clathrin-coated vesicle","9/257","179/18698",0.000849879360633678,0.0307191796909829,0.027375345538017,"CTLA4/HLA-DRA/MYO1E/SNX9/RAB27A/INPP5F/SLC2A8/GGA2/TFRC",9
"GO:0031983","GO:0031983","vesicle lumen","13/257","339/18698",0.000872703968493831,0.0307191796909829,0.027375345538017,"SRGN/COTL1/CTSD/ACTN4/FASLG/RAB27A/ARHGAP9/FAM3C/SPTAN1/PKM/PSMA5/CAT/CSNK2B",13
"GO:0000932","GO:0000932","P-body","6/257","84/18698",0.00105617125707595,0.0337974802264304,0.0301185679051323,"APOBEC3G/APOBEC3C/ZFP36L1/APOBEC3F/APOBEC3D/LSM2",6
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","7/257","124/18698",0.00164299188370583,0.0458723973583505,0.0408791100860899,"COTL1/CTSD/PKM/PSMA5/CAT/CTSB/CSNK2B",7
"GO:0034774","GO:0034774","secretory granule lumen","12/257","321/18698",0.00169415103880272,0.0458723973583505,0.0408791100860899,"SRGN/COTL1/CTSD/ACTN4/RAB27A/ARHGAP9/FAM3C/SPTAN1/PKM/PSMA5/CAT/CSNK2B",12
