"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:1037","DOID:1037","lymphoblastic leukemia","26/169","443/8007",1.71544427184017e-06,0.00101554300892938,0.000828830442920673,"CCL3/IFNG/CXCL13/CD38/IL2RB/LAT2/ARID5B/CLECL1/PDE7B/TNFAIP3/ZFP36L1/FASLG/BCL2L11/CCND2/IKZF3/CD70/PTPN11/TFRC/PKM/TBL1XR1/IL21R/ARNT/RHOH/MCL1/LDHA/CSNK2B",26
"DOID:612","DOID:612","primary immunodeficiency disease","14/169","196/8007",6.37803781182086e-05,0.00820183558199379,0.00669388785941528,"PDCD1/CTLA4/IFNG/ICOS/APOBEC3G/TNFRSF1B/FASLG/APOBEC3F/NCF4/CD70/CD63/BST2/PRKAR1A/NFAT5",14
"DOID:11123","DOID:11123","Henoch-Schoenlein purpura","5/169","22/8007",7.77035415420478e-05,0.00820183558199379,0.00669388785941528,"CTLA4/PTPN22/TNFSF4/HMOX1/CAT",5
"DOID:1557","DOID:1557","hypersensitivity reaction type III disease","5/169","22/8007",7.77035415420478e-05,0.00820183558199379,0.00669388785941528,"CTLA4/PTPN22/TNFSF4/HMOX1/CAT",5
"DOID:9809","DOID:9809","hypersensitivity vasculitis","5/169","22/8007",7.77035415420478e-05,0.00820183558199379,0.00669388785941528,"CTLA4/PTPN22/TNFSF4/HMOX1/CAT",5
"DOID:2213","DOID:2213","hemorrhagic disease","12/169","152/8007",8.31267119796668e-05,0.00820183558199379,0.00669388785941528,"CTLA4/HLA-DRA/IFNG/PTPN22/TNFSF4/FASLG/HMOX1/CASP3/CTNNB1/TET2/LDHA/CAT",12
"DOID:1247","DOID:1247","blood coagulation disease","13/169","180/8007",0.000104850659338886,0.00847319888633053,0.00691535968852367,"CTLA4/HLA-DRA/IFNG/PTPN22/TNFSF4/FASLG/HMOX1/PTPN11/CASP3/CTNNB1/TET2/LDHA/CAT",13
"DOID:3326","DOID:3326","purpura","8/169","71/8007",0.000114502687653115,0.00847319888633053,0.00691535968852367,"CTLA4/IFNG/PTPN22/TNFSF4/FASLG/HMOX1/CASP3/CAT",8
"DOID:74","DOID:74","hematopoietic system disease","23/169","474/8007",0.000145325011811325,0.00926355279192734,0.0075604031498838,"CTLA4/HLA-DRA/IFNG/CD38/ICOS/VCAM1/TNFRSF1B/PTPN22/TNFSF4/FASLG/HMOX1/CD70/PTPN11/TFRC/SPTAN1/CASP3/PRKAR1A/NFAT5/CTNNB1/GATA3/TET2/LDHA/CAT",23
"DOID:104","DOID:104","bacterial infectious disease","16/169","271/8007",0.000184251906980631,0.00926355279192734,0.0075604031498838,"PDCD1/CTLA4/CXCR6/CCL3/CD27/IFNG/CD38/ICOS/PRDM1/TNFRSF1B/PTPN22/CBLB/FASLG/BCL2L11/STAT3/MCL1",16
