"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","CXCL13",0.923338592175675,17.7791062978964,0.0519339148270307,2.49286745674856,183.893184425967,-16.8557677057207,-1.61117447324682,0.108165781148266,308.0555233598,-37.4413738823524,3.729838470911,"Welch Two Sample t-test","two.sided"
"2","ADGRG1",0.492243882458626,5.48597193688575,0.0897277434375759,0.947271473164151,35.810187002677,-4.99372805442712,-2.4508855180739,0.014805830143227,308.211432813249,-9.00293700294299,-0.984519105911264,"Welch Two Sample t-test","two.sided"
"3","GZMK",0.90385743301199,9.60963132171716,0.094057451607881,8.99141816940404,57.0227087179791,-8.70577388870517,-2.6675139831704,0.00803586457903887,315.534892057153,-15.1269972115165,-2.28455056589382,"Welch Two Sample t-test","two.sided"
"4","GZMA",0.362063843299139,3.42945836537468,0.10557464320159,2.9822856112788,18.4303727875208,-3.06739452207554,-2.9069918111499,0.00390729935945355,315.936237213449,-5.1434588252774,-0.991330218873676,"Welch Two Sample t-test","two.sided"
"5","CD40LG",1.26556893545513,11.4119424618204,0.110898643214264,13.4666564489177,114.498264948175,-10.1463735263653,-1.55246867679133,0.121563262421167,312.18660350585,-23.005842347666,2.71309529493537,"Welch Two Sample t-test","two.sided"
"6","EPHA1",0.662571421283434,4.93385182845339,0.134290903805097,0.462621848351453,30.6096789909031,-4.27128040716996,-2.45275529250279,0.0147308589140275,308.069015364084,-7.69786519133339,-0.844695623006517,"Welch Two Sample t-test","two.sided"
"7","RMDN2",1.15703041820753,8.57321993216124,0.134958676828888,3.68799554540844,85.8470127971686,-7.41618951395371,-1.51788334892012,0.130067691416348,308.557736631636,-17.030039245332,2.19766021742461,"Welch Two Sample t-test","two.sided"
"8","ANXA1",0.088742585342779,0.631300971699677,0.140570962696056,0.403316228870109,5.45928655407524,-0.542558386356898,-1.74465402917632,0.0820372482143678,309.650111467036,-1.15446625452573,0.0693494818119386,"Welch Two Sample t-test","two.sided"
"9","CDKL5",1.5866556064499,11.2352153458387,0.141221646191015,9.50899807309475,129.150612041645,-9.64855973938884,-1.31150111633388,0.19066014523914,309.638959674498,-24.1243659815342,4.82724650275652,"Welch Two Sample t-test","two.sided"
"10","TMEM155",0.961696765135953,6.68009639017339,0.143964504247369,0.108862372496562,70.4084587861761,-5.71839962503744,-1.42767268211298,0.154399195041035,308.000722278498,-13.5998083904182,2.16300914034329,"Welch Two Sample t-test","two.sided"
"11","GZMH",0.628430580017693,4.34261243848935,0.144712563904575,6.54849995302863,25.0451228967988,-3.71418185847166,-2.5642321519525,0.0107842179315847,328.820780963158,-6.56359461048598,-0.864769106457332,"Welch Two Sample t-test","two.sided"
"12","DTHD1",1.25748323848433,8.5397240306102,0.147251039258054,6.70959386908763,55.6479829163505,-7.28224079212587,-2.29219733616903,0.0225589358028152,312.400184573281,-13.5332034721938,-1.03127811205791,"Welch Two Sample t-test","two.sided"
"13","SULF2",2.09138682398942,14.1777979372258,0.14751140009537,12.6375689618887,148.871416108081,-12.0864111132364,-1.42462033388015,0.155272307346964,310.1791740905,-28.7797877385081,4.60696551203531,"Welch Two Sample t-test","two.sided"
"14","TMEM71",0.522114686523787,3.39309722844455,0.153875545371016,1.89736269160419,36.382141108608,-2.87098254192076,-1.38621969578038,0.166679850591019,308.821997070982,-6.9462107182541,1.20424563441258,"Welch Two Sample t-test","two.sided"
"15","OGFRL1",0.960808358866077,6.01912341420531,0.159625960916259,1.53297551013189,40.2344836368407,-5.05831505533923,-2.20918520205249,0.0278964388990466,308.438683198278,-9.5636731728121,-0.552956937866362,"Welch Two Sample t-test","two.sided"
"16","ST8SIA1",1.76076798338707,10.9614289354818,0.160633070172769,16.2696457273334,73.77191241485,-9.20066095209469,-2.16664545456942,0.0309932097577775,322.780439945393,-17.5549739150201,-0.846347989169317,"Welch Two Sample t-test","two.sided"
"17","PI16",1.98130833766157,11.8326036691866,0.167444832350898,18.3994498046252,98.0762494393876,-9.85129533152505,-1.75062144293468,0.0809733895409326,318.67888776226,-20.9226737462691,1.22008308321896,"Welch Two Sample t-test","two.sided"
"18","HVCN1",0.890755456874783,5.20997451305583,0.170971173590698,1.81872144568526,34.1958349007183,-4.31921905618105,-2.21875932596809,0.027229792489441,308.854944469314,-8.1496558137898,-0.488782298572307,"Welch Two Sample t-test","two.sided"
"19","NEK11",1.35738232686369,7.65160246454245,0.177398438190406,7.43563058141098,59.0342641624601,-6.29422013767876,-1.86695518234672,0.0628431629155891,312.802578850413,-12.9276743751898,0.339234099832247,"Welch Two Sample t-test","two.sided"
"20","IFIT2",5.98460753153977,32.1300969351179,0.186261732842724,44.0978265326515,139.191629483959,-26.1454894035782,-3.22349970624861,0.00138950634889958,338.669960028328,-42.0995790305665,-10.1913997765898,"Welch Two Sample t-test","two.sided"
